year,importer1,importer2,flow1,flow2
2005,"France","South Korea",3415.48,2767.6
2005,"France","Spain",35231.4,42582.3
2005,"France","Switzerland",12899,12694
2005,"France","Taiwan",1431.83,2537.909
2005,"Germany","Austria",31405.9,58285.9
2005,"Germany","China",52051.81,35902.55
2005,"Germany","Italy",44279.9,66706
2005,"Germany","Japan",26605.7,17870.3
2005,"Germany","Other Trade",231790.9,274873.7
2005,"Germany","South Korea",11214.9,9774.21
2005,"Italy","China",18259.08,10728.95
2005,"Italy","Japan",6208.29,6887.7
2005,"Italy","Other Trade",108202.9,93233.21
2005,"Italy","South Korea",4887.4,2778.01
2005,"Italy","Taiwan",1781.696,1444.506
2005,"Japan","Other Trade",103808.3,104943.4
2005,"Mexico","Austria",482.95,121.16
2005,"Mexico","Belgium",0,877.23
2005,"Mexico","China",20089.72,2421.63
2005,"Mexico","France",2821.05,696.81
2005,"Mexico","Germany",9537.48,2560.09
2005,"Mexico","Italy",3848.07,343.85
2005,"Mexico","Japan",14385.6,2541.88
2005,"Mexico","Netherlands",1017.05,874.33
2005,"Mexico","Other Trade",32147.52,13358.37
2005,"Mexico","South Korea",7222.69,459.78
2005,"Mexico","Spain",3657.05,3284.47
2005,"Mexico","Switzerland",1121.88,109.54
2005,"Mexico","Taiwan",873.0212,352.6497
2005,"Mexico","United Kingdom",2052.71,827.46
2005,"Netherlands","Austria",2058.64,4766.19
2005,"Netherlands","Belgium",33855.7,56587.5
2005,"Netherlands","China",34582.19,4093.27
2005,"Netherlands","France",16940.9,33033.1
2005,"Netherlands","Germany",60422.1,66313.3
2005,"Netherlands","Italy",8361.79,21744.2
2005,"Netherlands","Japan",11667.2,2131.5
2005,"Netherlands","Other Trade",102817.8,68092.45
2005,"Netherlands","South Korea",3652.16,2759.56
2005,"Netherlands","Spain",6526,14326.5
2005,"Netherlands","Switzerland",3010.23,6064.61
2005,"Netherlands","Taiwan",4323.121,2042.681
2005,"Other Trade","Austria",4228.63,3225.51
2005,"Other Trade","Belgium",2622.83,25917.25
2005,"Other Trade","China",132129.8,121562.5
2005,"Other Trade","France",10842.29,17587.52
2005,"Other Trade","Germany",32966.3,41494.7
2005,"Other Trade","Italy",26254.15,31086.3
2005,"Other Trade","Japan",67908.64,128182.7
2005,"Other Trade","Mexico",1050.11,466.41
2005,"Other Trade","Netherlands",5727.73,19090.51
2005,"Other Trade","Other Trade",579639,643146.9
2005,"Other Trade","South Korea",48142.19,65438.42
2005,"Other Trade","Spain",7073.6,14695.14
2005,"Other Trade","Switzerland",4079.44,5826.09
2005,"Other Trade","Taiwan",13025.99,28650.17
2005,"Other Trade","United Kingdom",3779.43,8280.53
2005,"South Korea","Japan",48403.2,24398.2
2005,"South Korea","Other Trade",39433.88,37936.61
2005,"Spain","Austria",2372.63,1451.87
2005,"Spain","China",12581.94,2715.69
2005,"Spain","Germany",44107.1,22405.4
2005,"Spain","Italy",24710.4,16391.5
2005,"Spain","Japan",5919.42,1765.46
2005,"Spain","Other Trade",77171.88,53066.66
2005,"Spain","South Korea",3341.24,653.33
2005,"Spain","Taiwan",1073.835,441.6185
