year,importer1,importer2,flow1,flow2
2000,All Other Trade,All Other Trade,3344.34,3175.61
2000,All Other Trade,All Other Trade,3970.72,2534.12
2000,All Other Trade,All Other Trade,3742.98,2741.28
2000,All Other Trade,All Other Trade,4508.429,1937.265
2000,All Other Trade,All Other Trade,2034.14,4332.79
2000,All Other Trade,All Other Trade,6347.2,11.99
2000,All Other Trade,All Other Trade,2927.8,3421.22
2000,All Other Trade,All Other Trade,3317,2941.4
2000,All Other Trade,All Other Trade,3255.49,3000.5
2000,All Other Trade,All Other Trade,3962.69,2292.18
2000,All Other Trade,All Other Trade,4096.4,2136.24
2000,All Other Trade,All Other Trade,1369.6,4702.6
2000,All Other Trade,All Other Trade,683.61,5356.3
2000,All Other Trade,All Other Trade,4075.81,1925.98
2000,All Other Trade,All Other Trade,5165.48,815.96
2000,All Other Trade,All Other Trade,2858.43,3085.95
2000,All Other Trade,All Other Trade,3824.68,2107.79
2000,All Other Trade,All Other Trade,3460.75,2441.4
2000,All Other Trade,All Other Trade,3461.09,2307.72
2000,All Other Trade,All Other Trade,2049.28,3685.79
2000,All Other Trade,All Other Trade,2184.89,3547.5
2000,All Other Trade,All Other Trade,3328.62,2365.9
2000,All Other Trade,All Other Trade,3358.06,2324.64
2000,All Other Trade,All Other Trade,2594.18,3052.78
2000,All Other Trade,All Other Trade,1896.39,3746.19
2000,All Other Trade,All Other Trade,2107.83,3531.82
2000,All Other Trade,All Other Trade,3592.59,2028.81
2000,All Other Trade,All Other Trade,642.07,4977.87
2000,All Other Trade,All Other Trade,2324.37,3281.7
2000,All Other Trade,All Other Trade,358.31,5215.77
2000,All Other Trade,All Other Trade,2129.01,3368.77
2000,All Other Trade,All Other Trade,2656.56,2708.91
2000,All Other Trade,All Other Trade,2195.91,3163.13
2000,All Other Trade,All Other Trade,2348.36,3009.84
2000,All Other Trade,All Other Trade,4155.02,1187.53
2000,All Other Trade,All Other Trade,1513.61,3821.56
2000,All Other Trade,All Other Trade,4619.45,715.39
2000,All Other Trade,All Other Trade,2767.872,2562.166
2000,All Other Trade,All Other Trade,3501.416,1827.887
2000,All Other Trade,All Other Trade,1785.3,3499.97
2000,All Other Trade,All Other Trade,3717,1509.39
2000,All Other Trade,All Other Trade,3588.76,1606.07
2000,All Other Trade,All Other Trade,4051.68,1120.18
